,service_name,ping,upload_speed,download_speed,duration,test_date,test_time
0,speedtest.net,12,20.81,74.00,47,2023-06-18,23:21
1,fast.com,6,15,75,30,2023-06-18,23:22
2,broadbandspeed,9,20.45,43.14,35,2023-06-18,23:22
3,speedtest.net,14,20.72,55.19,43,2023-06-18,23:23
4,fast.com,10,18,75,30,2023-06-18,23:23
5,broadbandspeed,10,20.36,43.88,34,2023-06-18,23:24
6,speedtest.net,12,20.88,55.39,42,2023-06-18,23:25
7,fast.com,9,19,75,30,2023-06-18,23:25
8,broadbandspeed,,,,34,2023-06-18,23:26
